Boughts for FY,2018
Date,Currency,Description,Trans Ref,Lot Ref,Qty Bought,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)
2017-12-19 19:29:28,XBT,"Bought 0.02 BTC/ZAR @ 290,000",B_XBT_007,0f5cd1f9,0.02000000,290000.00,5800.00,0.00,0.00,0.00
2017-12-20 05:29:34,XBT,"Bought 0.015 BTC/ZAR @ 260,000",B_XBT_008,2c9316ab,0.01500000,260000.00,3900.00,0.00,0.00,0.00
2017-12-21 16:02:54,XBT,"Bought 0.022391 BTC/ZAR @ 230,000",B_XBT_009,c176542e,0.02239100,230000.00,5149.93,0.00,0.00,0.00
2017-12-21 17:16:40,XBT,"Bought 0.02575 BTC/ZAR @ 200,000",B_XBT_010,b9cf900a,0.02575000,200000.00,5150.00,0.00,0.00,0.00
2017-12-22 06:45:03,XBT,"Bought 0.02 BTC/ZAR @ 170,000",B_XBT_011,f0591a90,0.02000000,170000.00,3400.00,0.00,0.00,0.00
2017-12-22 07:16:00,XBT,"Bought 0.02 BTC/ZAR @ 150,000",B_XBT_012,01290acd,0.02000000,150000.00,3000.00,0.00,0.00,0.00
2017-12-30 17:03:59,XBT,"Bought 0.020001 BTC/ZAR @ 180,000",B_XBT_013,020f0d27,0.02000100,180000.00,3600.18,0.00,0.00,0.00
2018-01-17 22:20:40,XBT,"Bought 0.024659 BTC/ZAR @ 147,000",B_XBT_014,d10a94b7,0.02465900,146999.88,3624.87,0.00,0.00,0.00
2018-01-19 17:30:05,XBT,"Bought 0.016529 BTC/ZAR @ 157,000",B_XBT_015,856b83a5,0.01652900,156999.82,2595.05,0.00,0.00,0.00
2018-01-23 07:34:16,XBT,"Bought 0.027591 BTC/ZAR @ 137,000",B_XBT_016,1c896bac,0.02759100,136999.75,3779.96,0.00,0.00,0.00

Solds for FY,2018
Date,Currency,Description,Trans Ref,Lot Ref,Qty Sold,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)

Buys for Others FY,2018
Date,Currency,Description,Trans Ref,Lot Ref,Qty Bought,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)
